알콜도수,당도,산도_ph,종류
9.4,1.9,3.51,레드와인
9.8,2.6,3.2,레드와인
9.8,2.3,3.26,레드와인
9.8,1.9,3.16,레드와인
9.4,1.9,3.51,레드와인
9.4,1.8,3.51,레드와인
9.4,1.6,3.3,레드와인
10,1.2,3.39,레드와인
9.5,2,3.36,레드와인
10.5,6.1,3.35,레드와인
9.2,1.8,3.28,레드와인
10.5,6.1,3.35,레드와인
9.9,1.6,3.58,레드와인
9.1,1.6,3.26,레드와인
9.2,3.8,3.16,레드와인
9.2,3.9,3.17,레드와인
10.5,1.8,3.3,레드와인
9.3,1.7,3.11,레드와인
9,4.4,3.38,레드와인
9.2,1.8,3.04,레드와인
9.4,1.8,3.39,레드와인
9.7,2.3,3.52,레드와인
9.5,1.6,3.17,레드와인
9.4,2.3,3.17,레드와인
9.7,2.4,3.43,레드와인
9.3,1.4,3.34,레드와인
9.5,1.8,3.28,레드와인
9.5,1.6,3.17,레드와인
9.4,1.9,3.47,레드와인
9.8,2,3.38,레드와인
10.1,2.4,3.35,레드와인
10.6,2.5,3.46,레드와인
9.8,2.3,3.17,레드와인
9.4,10.7,3.45,레드와인
9.2,1.8,3.38,레드와인
9.6,5.5,3.4,레드와인
10.8,2.4,3.42,레드와인
9.7,2.1,3.23,레드와인
9.8,1.5,3.5,레드와인
10.5,5.9,3.33,레드와인
10.5,5.9,3.33,레드와인
9.3,2.8,3.26,레드와인
10.5,2.6,3.21,레드와인
10.3,2.2,3.3,레드와인
9.5,1.8,3.48,레드와인
13.1,2.1,3.9,레드와인
9.2,2.2,3.25,레드와인
9.5,1.6,3.25,레드와인
9.2,1.6,3.34,레드와인
9.2,1.4,3.32,레드와인
9.2,1.7,3.15,레드와인
9.4,2.2,3.4,레드와인
9.4,2.1,3.39,레드와인
9.4,3,3.2,레드와인
10.2,2.8,3.17,레드와인
9.5,3.8,3.34,레드와인
9.6,3.4,3.04,레드와인
9.4,5.1,3.26,레드와인
10,2.3,3.43,레드와인
9.4,2.4,3.41,레드와인
9.2,2.2,3.44,레드와인
9.3,1.8,3.21,레드와인
9.5,1.9,3.38,레드와인
9.8,2,3.39,레드와인
10.9,4.65,3.41,레드와인
10.9,4.65,3.41,레드와인
9.6,1.5,3.42,레드와인
10.7,1.6,3.44,레드와인
10.7,2,3.28,레드와인
10.5,1.9,3.34,레드와인
9.5,1.9,3.32,레드와인
9.5,2.1,3.32,레드와인
9.5,1.9,3.31,레드와인
9.2,2.1,3.31,레드와인
9.6,2.5,3.28,레드와인
10.5,2.2,3.54,레드와인
10.5,2.2,3.54,레드와인
10.7,2.4,3.52,레드와인
10.1,2,3.38,레드와인
9.1,1.5,3.16,레드와인
9.2,1.6,3.41,레드와인
9.4,1.9,3.13,레드와인
9.1,2,3.36,레드와인
9.4,1.8,3.16,레드와인
10.3,1.8,3.44,레드와인
10.1,2.2,3.41,레드와인
9.9,1.9,2.93,레드와인
9.6,1.9,3.39,레드와인
9.5,2.1,3.14,레드와인
9,1.8,3.48,레드와인
9.5,1.9,3.23,레드와인
9.9,1.9,2.93,레드와인
9.8,2,2.93,레드와인
9.6,1.9,3.39,레드와인
10.5,1.4,3.75,레드와인
12.9,2.3,3.85,레드와인
10.7,3,3.45,레드와인
9.2,2,3.25,레드와인
9.8,2.5,3.39,레드와인
9,1.9,3.3,레드와인
10.2,2.1,3.4,레드와인
10.4,1.9,3.31,레드와인
9,1.9,3.3,레드와인
9.2,2.1,3.29,레드와인
9.4,2.2,3.33,레드와인
9.2,2.1,3.29,레드와인
9.3,1.7,3.08,레드와인
9.3,1.7,3.46,레드와인
9.6,2.5,3.37,레드와인
9.3,2,3.21,레드와인
