단지명,층,건축년도,구,동,계약월,거래금액(억),유형,평
개포6차우성아파트1동~8동,4,1987,강남구,개포동,04,22.0,중형,24.23
개포6차우성아파트1동~8동,2,1987,강남구,개포동,04,22.0,중형,24.23
개포6차우성아파트1동~8동,2,1987,강남구,개포동,05,21.6,중형,24.23
개포래미안포레스트,13,2020,강남구,개포동,04,36.9,대형,31.01
개포래미안포레스트,17,2020,강남구,개포동,05,42.0,대형,41.23
개포래미안포레스트,5,2020,강남구,개포동,05,20.35,소형,18.16
개포래미안포레스트,6,2020,강남구,개포동,05,21.0,소형,18.16
개포래미안포레스트,10,2020,강남구,개포동,06,19.5,소형,18.16
개포래미안포레스트,33,2020,강남구,개포동,11,24.0,중형,25.71
개포래미안포레스트,5,2020,강남구,개포동,11,24.0,중형,25.72
개포자이,2,2004,강남구,개포동,02,24.6,대형,51.04
개포자이,11,2004,강남구,개포동,07,30.3,대형,51.61
개포주공6단지,8,1983,강남구,개포동,01,28.0,중형,25.22
개포주공6단지,5,1983,강남구,개포동,03,27.0,중형,22.13
개포주공6단지,3,1983,강남구,개포동,12,19.0,중형,25.22
개포주공7단지,4,1983,강남구,개포동,03,21.15,소형,16.2
개포주공7단지,6,1983,강남구,개포동,03,26.5,중형,22.2
경남1,4,1984,강남구,개포동,03,34.3,대형,37.36
경남2차,8,1984,강남구,개포동,04,40.0,대형,56.41
그린빌리지,4,1996,강남구,개포동,02,18.0,대형,59.97
디에이치아너힐즈,8,2019,강남구,개포동,02,59.0,대형,39.79
디에이치아너힐즈,23,2019,강남구,개포동,04,30.5,중형,23.08
디에이치아너힐즈,28,2019,강남구,개포동,05,23.45,소형,18.14
디에이치아너힐즈,3,2019,강남구,개포동,05,22.7,소형,18.11
디에이치아너힐즈,27,2019,강남구,개포동,09,43.0,대형,32.42
디에이치아너힐즈,19,2019,강남구,개포동,11,25.0,중형,25.56
디에이치아너힐즈,24,2019,강남구,개포동,12,22.0,중형,23.08
래미안블레스티지,7,2019,강남구,개포동,01,30.0,중형,25.74
래미안블레스티지,1,2019,강남구,개포동,04,20.0,소형,18.15
래미안블레스티지,22,2019,강남구,개포동,05,22.85,소형,18.17
래미안블레스티지,32,2019,강남구,개포동,06,36.0,중대형,30.3
래미안블레스티지,5,2019,강남구,개포동,06,21.4,소형,18.17
래미안블레스티지,7,2019,강남구,개포동,07,21.0,소형,18.15
래미안블레스티지,31,2019,강남구,개포동,07,37.3,중대형,30.3
래미안블레스티지,7,2019,강남구,개포동,10,18.5,소형,18.17
