시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
서울특별시 강남구 개포동,658-1,658.0,1.0,개포6차우성아파트1동~8동,79.97,202204,12,220000,4,1987.0,언주로 3,,중개거래,서울 강남구
서울특별시 강남구 개포동,658-1,658.0,1.0,개포6차우성아파트1동~8동,79.97,202204,21,220000,2,1987.0,언주로 3,,중개거래,서울 강남구
서울특별시 강남구 개포동,658-1,658.0,1.0,개포6차우성아파트1동~8동,79.97,202205,27,216000,2,1987.0,언주로 3,,중개거래,서울 강남구
서울특별시 강남구 개포동,1282,1282.0,0.0,개포래미안포레스트,102.32,202204,1,369000,13,2020.0,개포로 264,,중개거래,"서울 강남구, 서울 양천구"
서울특별시 강남구 개포동,1282,1282.0,0.0,개포래미안포레스트,136.06,202205,2,420000,17,2020.0,개포로 264,,중개거래,서울 강남구
서울특별시 강남구 개포동,1282,1282.0,0.0,개포래미안포레스트,59.92,202205,12,203500,5,2020.0,개포로 264,,중개거래,서울 강남구
서울특별시 강남구 개포동,1282,1282.0,0.0,개포래미안포레스트,59.92,202205,26,210000,6,2020.0,개포로 264,20220930.0,중개거래,서울 강남구
서울특별시 강남구 개포동,1282,1282.0,0.0,개포래미안포레스트,59.92,202206,17,195000,10,2020.0,개포로 264,,중개거래,서울 강남구
서울특별시 강남구 개포동,1282,1282.0,0.0,개포래미안포레스트,84.83,202211,25,240000,33,2020.0,개포로 264,,중개거래,서울 강남구
서울특별시 강남구 개포동,1282,1282.0,0.0,개포래미안포레스트,84.86,202211,29,240000,5,2020.0,개포로 264,,중개거래,서울 강남구
서울특별시 강남구 개포동,12월 02일,12.0,2.0,개포자이,168.42,202202,7,246000,2,2004.0,개포로109길 69,,중개거래,서울 강남구
서울특별시 강남구 개포동,12월 02일,12.0,2.0,개포자이,170.32,202207,27,303000,11,2004.0,개포로109길 69,,중개거래,서울 강남구
서울특별시 강남구 개포동,185,185.0,0.0,개포주공6단지,83.21,202201,15,280000,8,1983.0,개포로 516,,중개거래,서울 강남구
서울특별시 강남구 개포동,185,185.0,0.0,개포주공6단지,73.02,202203,18,270000,5,1983.0,개포로 516,,중개거래,서울 강남구
서울특별시 강남구 개포동,185,185.0,0.0,개포주공6단지,83.21,202212,17,190000,3,1983.0,개포로 516,,중개거래,서울 강남구
서울특별시 강남구 개포동,185,185.0,0.0,개포주공7단지,53.46,202203,17,211500,4,1983.0,개포로 516,,중개거래,서울 강남구
서울특별시 강남구 개포동,185,185.0,0.0,개포주공7단지,73.26,202203,18,265000,6,1983.0,개포로 516,,중개거래,서울 강남구
서울특별시 강남구 개포동,649,649.0,0.0,경남1,123.28,202203,8,343000,4,1984.0,언주로 110,,중개거래,서울 강남구
서울특별시 강남구 개포동,649,649.0,0.0,경남2차,186.16,202204,19,400000,8,1984.0,언주로 110,,중개거래,서울 강남구
서울특별시 강남구 개포동,1167,1167.0,0.0,그린빌리지,197.91,202202,11,180000,4,1996.0,논현로4길 28,,중개거래,서울 서초구
서울특별시 강남구 개포동,138,138.0,0.0,디에이치아너힐즈,131.3226,202202,22,590000,8,2019.0,삼성로 11,,중개거래,서울 강남구
서울특별시 강남구 개포동,138,138.0,0.0,디에이치아너힐즈,76.1709,202204,8,305000,23,2019.0,삼성로 11,,중개거래,서울 강남구
서울특별시 강남구 개포동,138,138.0,0.0,디에이치아너힐즈,59.8732,202205,11,234500,28,2019.0,삼성로 11,20221207.0,중개거래,서울 강남구
서울특별시 강남구 개포동,138,138.0,0.0,디에이치아너힐즈,59.7479,202205,14,227000,3,2019.0,삼성로 11,,중개거래,서울 강남구
서울특별시 강남구 개포동,138,138.0,0.0,디에이치아너힐즈,106.9877,202209,15,430000,27,2019.0,삼성로 11,,중개거래,서울 강남구
서울특별시 강남구 개포동,138,138.0,0.0,디에이치아너힐즈,84.3558,202211,26,250000,19,2019.0,삼성로 11,,중개거래,서울 강남구
서울특별시 강남구 개포동,138,138.0,0.0,디에이치아너힐즈,76.1709,202212,22,220000,24,2019.0,삼성로 11,,중개거래,서울 강남구
서울특별시 강남구 개포동,1280,1280.0,0.0,래미안블레스티지,84.943,202201,15,300000,7,2019.0,선릉로 8,,중개거래,서울 강남구
서울특별시 강남구 개포동,1280,1280.0,0.0,래미안블레스티지,59.888,202204,16,200000,1,2019.0,선릉로 8,,중개거래,서울 강남구
서울특별시 강남구 개포동,1280,1280.0,0.0,래미안블레스티지,59.967,202205,27,228500,22,2019.0,선릉로 8,,중개거래,서울 강남구
서울특별시 강남구 개포동,1280,1280.0,0.0,래미안블레스티지,99.991,202206,10,360000,32,2019.0,선릉로 8,,중개거래,서울 강남구
서울특별시 강남구 개포동,1280,1280.0,0.0,래미안블레스티지,59.967,202206,28,214000,5,2019.0,선릉로 8,,중개거래,서울 강남구
서울특별시 강남구 개포동,1280,1280.0,0.0,래미안블레스티지,59.888,202207,11,210000,7,2019.0,선릉로 8,,중개거래,서울 강남구
서울특별시 강남구 개포동,1280,1280.0,0.0,래미안블레스티지,99.991,202207,11,373000,31,2019.0,선릉로 8,,중개거래,서울 강남구
서울특별시 강남구 개포동,1280,1280.0,0.0,래미안블레스티지,59.967,202210,8,185000,7,2019.0,선릉로 8,,중개거래,서울 강남구
서울특별시 강남구 개포동,1280,1280.0,0.0,래미안블레스티지,84.943,202212,5,241000,8,2019.0,선릉로 8,,중개거래,서울 강남구
서울특별시 강남구 개포동,12,12.0,0.0,삼익대청아파트,51.12,202203,26,157000,2,1992.0,개포로109길 21,,중개거래,서울 강남구
서울특별시 강남구 개포동,12,12.0,0.0,삼익대청아파트,39.53,202208,8,119000,12,1992.0,개포로109길 21,,중개거래,서울 강남구
서울특별시 강남구 개포동,12,12.0,0.0,삼익대청아파트,60.0,202210,18,122000,10,1992.0,개포로109길 21,,중개거래,서울 강남구
서울특별시 강남구 개포동,12,12.0,0.0,삼익대청아파트,60.0,202211,14,134000,7,1992.0,개포로109길 21,,중개거래,"서울 강남구, 서울 서초구"
서울특별시 강남구 개포동,12,12.0,0.0,삼익대청아파트,51.12,202212,16,100000,15,1992.0,개포로109길 21,,중개거래,서울 강남구
서울특별시 강남구 개포동,1164-12,1164.0,12.0,새롬(1164-12),73.5,202207,15,111500,6,2000.0,논현로2길 34,,중개거래,서울 강남구
서울특별시 강남구 개포동,12,12.0,0.0,성원대치2단지아파트,33.18,202201,8,125000,7,1992.0,개포로109길 9,,중개거래,서울 강남구
서울특별시 강남구 개포동,12,12.0,0.0,성원대치2단지아파트,33.18,202201,11,120000,5,1992.0,개포로109길 9,,중개거래,서울 강남구
서울특별시 강남구 개포동,12,12.0,0.0,성원대치2단지아파트,33.18,202201,25,120000,8,1992.0,개포로109길 9,,중개거래,서울 강남구
서울특별시 강남구 개포동,12,12.0,0.0,성원대치2단지아파트,33.18,202203,18,118000,7,1992.0,개포로109길 9,,중개거래,서울 강남구
서울특별시 강남구 개포동,12,12.0,0.0,성원대치2단지아파트,33.18,202203,27,120000,12,1992.0,개포로109길 9,,중개거래,서울 강남구
서울특별시 강남구 개포동,12,12.0,0.0,성원대치2단지아파트,39.53,202204,7,145000,8,1992.0,개포로109길 9,,중개거래,서울 강남구
서울특별시 강남구 개포동,12,12.0,0.0,성원대치2단지아파트,33.18,202204,18,110000,9,1992.0,개포로109길 9,,중개거래,서울 강남구
서울특별시 강남구 개포동,12,12.0,0.0,성원대치2단지아파트,33.18,202206,1,108000,15,1992.0,개포로109길 9,,중개거래,서울 강남구
서울특별시 강남구 개포동,12,12.0,0.0,성원대치2단지아파트,33.18,202206,30,95000,4,1992.0,개포로109길 9,,중개거래,서울 강남구
서울특별시 강남구 개포동,12,12.0,0.0,성원대치2단지아파트,49.86,202207,4,150000,8,1992.0,개포로109길 9,,중개거래,서울 강남구
서울특별시 강남구 개포동,12,12.0,0.0,성원대치2단지아파트,39.53,202207,9,130500,6,1992.0,개포로109길 9,,중개거래,서울 강남구
서울특별시 강남구 개포동,12,12.0,0.0,성원대치2단지아파트,49.86,202208,10,133000,1,1992.0,개포로109길 9,,중개거래,서울 강남구
서울특별시 강남구 개포동,12,12.0,0.0,성원대치2단지아파트,49.86,202208,31,136000,14,1992.0,개포로109길 9,,중개거래,"서울 강남구, 서울 서초구"
서울특별시 강남구 개포동,12,12.0,0.0,성원대치2단지아파트,33.18,202209,24,92000,12,1992.0,개포로109길 9,,중개거래,서울 강남구
서울특별시 강남구 개포동,12,12.0,0.0,성원대치2단지아파트,33.18,202210,18,88000,8,1992.0,개포로109길 9,,중개거래,서울 강남구
서울특별시 강남구 개포동,12,12.0,0.0,성원대치2단지아파트,39.53,202211,15,102500,3,1992.0,개포로109길 9,,중개거래,서울 강남구
서울특별시 강남구 개포동,12,12.0,0.0,성원대치2단지아파트,33.18,202211,16,84700,13,1992.0,개포로109길 9,,중개거래,서울 강남구
서울특별시 강남구 개포동,12,12.0,0.0,성원대치2단지아파트,49.86,202212,23,104000,4,1992.0,개포로109길 9,,중개거래,서울 강남구
서울특별시 강남구 개포동,12,12.0,0.0,성원대치2단지아파트,49.86,202212,23,104000,4,1992.0,개포로109길 9,20230112.0,중개거래,서울 강남구
서울특별시 강남구 개포동,179,179.0,0.0,우성8,79.61,202204,27,240000,6,1987.0,개포로 411,,중개거래,서울 강남구
서울특별시 강남구 개포동,653,653.0,0.0,현대1차101동~106동,95.4,202201,5,275000,2,1984.0,개포로 303,,중개거래,서울 강남구
서울특별시 강남구 개포동,654,654.0,0.0,현대2,84.81,202201,15,272000,8,1986.0,언주로 107,,중개거래,서울 강남구
서울특별시 강남구 개포동,654,654.0,0.0,현대2,84.81,202203,30,265000,7,1986.0,언주로 107,,중개거래,서울 강남구
서울특별시 강남구 개포동,654,654.0,0.0,현대2,131.83,202204,21,291500,3,1986.0,언주로 107,,중개거래,인천 서구
서울특별시 강남구 논현동,195-1,195.0,1.0,e-편한세상,129.8748,202204,5,192000,10,2005.0,봉은사로11길 12,,중개거래,서울 강남구
