Á¾·ù,¹«°Ô,±æÀÌ,³ôÀÌ,µÎ²²
µµ¹Ì,242,25.4,11.52,4.02
µµ¹Ì,290,26.3,12.48,4.3056
µµ¹Ì,340,26.5,12.3778,4.6961
µµ¹Ì,363,29,12.73,4.4555
µµ¹Ì,430,29,12.444,5.134
µµ¹Ì,450,29.7,13.6024,4.9274
µµ¹Ì,500,29.7,14.1795,5.2785
µµ¹Ì,390,30,12.67,4.69
µµ¹Ì,450,30,14.0049,4.8438
µµ¹Ì,500,30.7,14.2266,4.9594
µµ¹Ì,475,31,14.2628,5.1042
µµ¹Ì,500,31,14.3714,4.8146
µµ¹Ì,500,31.5,13.7592,4.368
µµ¹Ì,340,32,13.9129,5.0728
µµ¹Ì,600,32,14.9544,5.1708
µµ¹Ì,600,32,15.438,5.58
µµ¹Ì,700,33,14.8604,5.2854
µµ¹Ì,700,33,14.938,5.1975
µµ¹Ì,610,33.5,15.633,5.1338
µµ¹Ì,650,33.5,14.4738,5.7276
µµ¹Ì,575,34,15.1285,5.5695
µµ¹Ì,685,34,15.9936,5.3704
µµ¹Ì,620,34.5,15.5227,5.2801
µµ¹Ì,680,35,15.4686,6.1306
µµ¹Ì,700,35,16.2405,5.589
µµ¹Ì,725,35,16.36,6.0532
µµ¹Ì,720,35,16.3618,6.09
µµ¹Ì,714,36,16.517,5.8515
µµ¹Ì,850,36,16.8896,6.1984
µµ¹Ì,1000,37,18.957,6.603
µµ¹Ì,920,38.5,18.0369,6.3063
µµ¹Ì,955,38.5,18.084,6.292
µµ¹Ì,925,39.5,18.7542,6.7497
µµ¹Ì,975,41,18.6354,6.7473
µµ¹Ì,950,41,17.6235,6.3705
À×¾î,40,14.1,4.1472,2.268
À×¾î,69,18.2,5.2983,2.8217
À×¾î,78,18.8,5.5756,2.9044
À×¾î,87,19.8,5.6166,3.1746
À×¾î,120,20,6.216,3.5742
À×¾î,0,20.5,6.4752,3.3516
À×¾î,110,20.8,6.1677,3.3957
À×¾î,120,21,6.1146,3.2943
À×¾î,150,22,5.8045,3.7544
À×¾î,145,22,6.6339,3.5478
À×¾î,160,22.5,7.0334,3.8203
À×¾î,140,22.5,6.55,3.325
À×¾î,160,22.5,6.4,3.8
À×¾î,169,24,7.5344,3.8352
À×¾î,161,23.4,6.9153,3.6312
À×¾î,200,23.5,7.3968,4.1272
À×¾î,180,25.2,7.0866,3.906
À×¾î,290,26,8.8768,4.4968
À×¾î,272,27,8.568,4.7736
À×¾î,390,31.7,9.485,5.355
¿¬¾î,270,26,8.3804,4.2476
¿¬¾î,270,26.5,8.1454,4.2485
¿¬¾î,306,28,8.778,4.6816
¿¬¾î,540,31,10.744,6.562
¿¬¾î,800,36.4,11.7612,6.5736
¿¬¾î,1000,40,12.354,6.525
³ó¾î,5.9,8.4,2.112,1.408
³ó¾î,32,13.7,3.528,1.9992
³ó¾î,40,15,3.824,2.432
³ó¾î,51.5,16.2,4.5924,2.6316
³ó¾î,70,17.4,4.588,2.9415
³ó¾î,100,18,5.2224,3.3216
³ó¾î,78,18.7,5.1992,3.1234
³ó¾î,80,19,5.6358,3.0502
³ó¾î,85,19.6,5.1376,3.0368
³ó¾î,85,20,5.082,2.772
³ó¾î,110,21,5.6925,3.555
³ó¾î,115,21,5.9175,3.3075
³ó¾î,125,21,5.6925,3.6675
³ó¾î,130,21.3,6.384,3.534
³ó¾î,120,22,6.11,3.4075
³ó¾î,120,22,5.64,3.525
³ó¾î,130,22,6.11,3.525
³ó¾î,135,22,5.875,3.525
³ó¾î,110,22,5.5225,3.995
³ó¾î,130,22.5,5.856,3.624
³ó¾î,150,22.5,6.792,3.624
³ó¾î,145,22.7,5.9532,3.63
³ó¾î,150,23,5.2185,3.626
³ó¾î,170,23.5,6.275,3.725
³ó¾î,225,24,7.293,3.723
³ó¾î,145,24,6.375,3.825
³ó¾î,188,24.6,6.7334,4.1658
³ó¾î,180,25,6.4395,3.6835
³ó¾î,197,25.6,6.561,4.239
³ó¾î,218,26.5,7.168,4.144
³ó¾î,300,27.3,8.323,5.1373
³ó¾î,260,27.5,7.1672,4.335
³ó¾î,265,27.5,7.0516,4.335
³ó¾î,250,27.5,7.2828,4.5662
³ó¾î,250,28,7.8204,4.2042
³ó¾î,300,28.7,7.5852,4.6354
³ó¾î,320,30,7.6156,4.7716
³ó¾î,514,32.8,10.03,6.018
³ó¾î,556,34.5,10.2565,6.3875
³ó¾î,840,35,11.4884,7.7957
³ó¾î,685,36.5,10.881,6.864
³ó¾î,700,36,10.6091,6.7408
³ó¾î,700,37,10.835,6.2646
³ó¾î,690,37,10.5717,6.3666
³ó¾î,900,39,11.1366,7.4934
³ó¾î,650,39,11.1366,6.003
³ó¾î,820,39,12.4313,7.3514
³ó¾î,850,40,11.9286,7.1064
³ó¾î,900,40,11.73,7.225
³ó¾î,1015,40,12.3808,7.4624
³ó¾î,820,40,11.135,6.63
³ó¾î,1100,42,12.8002,6.8684
³ó¾î,1000,43,11.9328,7.2772
³ó¾î,1100,43,12.5125,7.4165
³ó¾î,1000,43.5,12.604,8.142
³ó¾î,1000,44,12.4888,7.5958
°­²¿Ä¡°í±â,200,32.3,5.568,3.3756
°­²¿Ä¡°í±â,300,34,5.7078,4.158
°­²¿Ä¡°í±â,300,35,5.9364,4.3844
°­²¿Ä¡°í±â,300,37.3,6.2884,4.0198
°­²¿Ä¡°í±â,430,38,7.29,4.5765
°­²¿Ä¡°í±â,345,38.5,6.396,3.977
°­²¿Ä¡°í±â,456,42.5,7.28,4.3225
°­²¿Ä¡°í±â,510,42.5,6.825,4.459
°­²¿Ä¡°í±â,540,43,7.786,5.1296
°­²¿Ä¡°í±â,500,45,6.96,4.896
°­²¿Ä¡°í±â,567,46,7.792,4.87
°­²¿Ä¡°í±â,770,48,7.68,5.376
°­²¿Ä¡°í±â,950,51.7,8.9262,6.1712
°­²¿Ä¡°í±â,1250,56,10.6863,6.9849
°­²¿Ä¡°í±â,1600,60,9.6,6.144
°­²¿Ä¡°í±â,1550,60,9.6,6.144
°­²¿Ä¡°í±â,1650,63.4,10.812,7.48
ºù¾î,6.7,9.8,1.7388,1.0476
ºù¾î,7.5,10.5,1.972,1.16
ºù¾î,7,10.6,1.7284,1.1484
ºù¾î,9.7,11,2.196,1.38
ºù¾î,9.8,11.2,2.0832,1.2772
ºù¾î,8.7,11.3,1.9782,1.2852
ºù¾î,10,11.8,2.2139,1.2838
ºù¾î,9.9,11.8,2.2139,1.1659
ºù¾î,9.8,12,2.2044,1.1484
ºù¾î,12.2,12.2,2.0904,1.3936
ºù¾î,13.4,12.4,2.43,1.269
ºù¾î,12.2,13,2.277,1.2558
ºù¾î,19.7,14.3,2.8728,2.0672
ºù¾î,19.9,15,2.9322,1.8792
